Date,Open,High,Low,Close,Volume,Year,Month,Symbol,Sector,Company Name
2025-08-26,12.39,12.39,11.31,11.64,73270,2025,8,786,Banks/INV. COS/Securities COS.,786 Investment Limited
2025-08-26,1084.0,1094.8,1060.0,1087.79,379,2025,8,AABS,Sugar and Allied Industries,Al-Abbas Sugar Mills Limited
2025-08-26,58.01,60.96,57.1,57.6,16253,2025,8,AATM,Textile Spinning,Ali Asghar Textile Mills Limited
2025-08-26,188.0,188.0,181.0,182.39,136192,2025,8,ABL,Commercial Banks,Allied Bank Limited
2025-08-26,1190.64,1192.0,1170.01,1173.74,10725,2025,8,ABOT,Pharmaceuticals,Abbot Laboatories (Pakistan) Limited
2025-08-26,291.92,295.0,290.0,290.65,184501,2025,8,ACPL,Cement,Attock Cement (Pakistan) Limited
2025-08-26,68.5,71.89,68.01,70.0,2467,2025,8,ADAMS,Sugar and Allied Industries,Adam Sugar Mills Limited
2025-08-26,64.0,64.0,61.9,61.96,53279,2025,8,ADMM,Textile Composite,Artistic Denim Mills Limited
2025-08-26,8.96,9.0,8.9,8.92,1026214,2025,8,AGHA,Engineering,Agha Steel Indunstries Limited
2025-08-26,45.5,45.5,44.0,44.17,43930,2025,8,AGIC,Insurance,Askari General Inusrance Company Limited
2025-08-26,140.2,141.98,138.32,139.96,35198,2025,8,AGIL,Automobile Parts and Accessories,Agriautos Industries Limited
2025-08-26,83.2,83.75,80.5,81.01,1230557,2025,8,AGL,Chemical,Agritech Limited
2025-08-26,209.43,209.99,203.5,204.29,234183,2025,8,AGP,Pharmaceuticals,AGP Limited
2025-08-26,9.0,9.55,8.9,9.15,3808596,2025,8,AGSML,Sugar and Allied Industries,Abdullah Shah Ghazi Sugar Mills Limited
2025-08-26,404.0,407.0,403.0,404.31,24159,2025,8,AGTL,Automobile Assembler,Al-Ghazi Tractors Limited
2025-08-26,12.68,13.38,12.54,13.12,8793138,2025,8,AHCL,Fertilizer,Arif Habib Corporation Limited
2025-08-26,93.35,94.0,93.01,93.48,41947,2025,8,AHL,Banks/INV. COS/Securities COS.,Arif Habib Limited
2025-08-26,78.6,78.6,78.6,78.53,6,2025,8,AHTM,Textile Composite,Ahmed Hassan Textile Mills Limited
2025-08-26,72.55,72.9,71.5,72.17,1535384,2025,8,AICL,Insurance,Adamjee Insurance Company Limited
2025-08-26,156.25,156.25,150.0,150.93,3581900,2025,8,AIRLINK,Technoly and Commnunication,Air Link Communication Limited
2025-08-26,77.04,77.8,76.5,76.89,2666196,2025,8,AKBL,Commercial Banks,Askari Bank Limited
2025-08-26,178.49,195.8,178.49,190.54,13879,2025,8,AKDHL,Misc.,AKD Hospitality Limited
2025-08-26,34.5,35.21,34.0,34.1,532486,2025,8,AKDSL,Banks/INV. COS/Securities COS.,AKD Securities Limited
2025-08-26,10.48,10.49,9.86,10.16,2075211,2025,8,ALAC,Insurance,Askari Life Assurance Company Limited
2025-08-26,36.52,36.52,35.16,36.0,87142,2025,8,ALIFE,Insurance,Adamjee Life Assurance Company Limited
2025-08-26,98.0,98.0,98.0,98.0,300,2025,8,ALNRS,Sugar and Allied Industries,Al-Noor Sugar Mills Limited
2025-08-26,14.99,15.52,14.25,15.1,17211028,2025,8,ALTN,Power Generation and Distribution,Altern Energy Limited
2025-08-26,4.1,4.15,3.89,4.0,2828382,2025,8,AMTEX,Textile Spinning,Amtex Limited
2025-08-26,12.94,12.94,12.6,12.68,984139,2025,8,ANL,Textile Composite,Azgard Nine Limited
2025-08-26,14.29,14.29,14.29,14.29,15897,2025,8,ANSM,Sugar and Allied Industries,Ansari Sugar Mills Limtied
2025-08-26,32.88,32.88,30.24,30.45,11560,2025,8,ANTM,Textile Composite,AN Textile Mills Limited
2025-08-26,524.49,524.49,518.0,520.0,20370,2025,8,APL,Oil and Gas Marketing,Attock Petroleum Limited
2025-08-26,39.49,39.49,39.49,38.82,60,2025,8,ARCTM,Textile Spinning,Arctic Textile Mills Limited
2025-08-26,464.0,465.0,454.0,454.88,7892,2025,8,ARPL,Chemical,Archroma Pakistan Limited
2025-08-26,9.79,9.8,9.59,9.59,26369,2025,8,ARUJ,Textile Composite,Aruj Industries Limited
2025-08-26,20.7,21.68,20.5,21.68,5941408,2025,8,ASC,Food and Personal Care Products,Al-Shaheer Corporation Limited
2025-08-26,23.15,25.8,23.15,23.15,1111,2025,8,ASHT,Textile Weaving,Ashfaq Textile Mills Limited
2025-08-26,18.7,18.7,18.7,17.0,80,2025,8,ASIC,Insurance,Asia Insurance Company Limited
2025-08-26,13.39,13.6,13.0,13.27,12304794,2025,8,ASL,Engineering,Aisha Steel Mills Limited
2025-08-26,46.54,46.54,46.54,46.54,1000,2025,8,ASLCPS,Engineering,Aisha Steel Mills Ltd(Con.Cum.Pref.Share
2025-08-26,25.87,26.0,25.86,28.69,59,2025,8,ASLPS,Engineering,Aisha Steel Mills Limited (Preference Shares)
2025-08-26,21.95,22.0,21.5,21.89,365366,2025,8,ASTL,Engineering,Amreli Steels Ltd.
2025-08-26,36.81,38.31,35.01,36.16,13220,2025,8,ASTM,Textile Spinning,Asim Textile Mills Limited
2025-08-26,276.2,280.8,255.0,257.79,107806,2025,8,ATBA,Automobile Parts and Accessories,Atlas Battery Limited
2025-08-26,80.0,83.45,80.0,82.03,13840,2025,8,ATIL,Insurance,Atlas Insurance Limited
2025-08-26,1225.0,1235.0,1220.05,1225.07,9502,2025,8,ATLH,Automobile Assembler,Atlas Honda Limited
2025-08-26,656.0,665.45,652.0,662.71,1008103,2025,8,ATRL,Refinery,Attock Refinery Limited
2025-08-26,49.66,50.15,49.6,49.97,929233,2025,8,AVN,Technoly and Commnunication,Avanceon Limited
2025-08-26,106.0,106.0,105.01,105.57,950877,2025,8,BAFL,Commercial Banks,Bank Al-Falah Limited
2025-08-26,235.99,235.99,220.86,221.8,8580,2025,8,BAFS,Sugar and Allied Industries,Baba Farid Sugar Mills Limited
2025-08-26,201.7,201.7,188.0,191.46,500175,2025,8,BAHL,Commercial Banks,Bank Al-Habib Limited
2025-08-26,50.6,50.99,49.01,49.17,146667,2025,8,BAPL,Chemical,Bawany Air Product Limited
2025-08-26,1729.11,1740.0,1540.42,1554.41,27993,2025,8,BATA,Leather and Tanneries,Bata Pakistan Limited
2025-08-26,114.9,114.9,111.51,113.07,13039,2025,8,BCL,Engineering,Bolan Casting Limited
2025-08-26,19.01,19.35,18.7,18.73,626739,2025,8,BECO,Engineering,Beco Steel Limited
2025-08-26,120.0,121.8,115.0,121.74,3164,2025,8,BELA,Automobile Parts and Accessories,Bela Automotive Limited
2025-08-26,111.12,112.5,110.6,111.31,56525,2025,8,BERG,Chemical,Berger Paints Pakistan Limited
2025-08-26,13.11,13.14,12.52,12.73,10547,2025,8,BFMOD,Modrabas,B.F. Modaraba
2025-08-26,12.57,13.24,12.48,12.55,8005418,2025,8,BGL,Grass and Ceramics,Baluchistan Glass Limited
2025-08-26,929.05,959.89,929.0,955.54,1206,2025,8,BHAT,Textile Composite,Bhanero Textile Mills Limited
2025-08-26,189.8,189.8,186.0,186.59,60857,2025,8,BIFO,Chemical,Biafo Industries Limited
2025-08-26,23.5,24.49,23.31,23.69,353735,2025,8,BILF,Textile Spinning,Bilal Fibres Limited
2025-08-26,36.0,36.5,35.36,35.96,1624491,2025,8,BIPL,Commercial Banks,Bankislami Pakistan Limited
2025-08-26,99.0,104.5,88.46,97.91,7838569,2025,8,BNL,Food and Personal Care Products,Bunny's Limited
2025-08-26,79.8,79.8,76.36,76.89,17538,2025,8,BNWM,Woollen,Bannu Woollen Mills Limited
2025-08-26,21.44,21.45,18.5,21.45,618387,2025,8,BOK,Commercial Banks,Bank Of Khyber Limited
2025-08-26,14.68,14.87,14.61,14.68,10217003,2025,8,BOP,Commercial Banks,Bank Of Punjab Limited
2025-08-26,33.74,36.84,33.74,35.68,253812,2025,8,BPL,Oil and Gas Marketing,Burshane LPG (Pakistan) Limited
2025-08-26,325.0,325.0,308.01,315.0,232,2025,8,BTL,Textile Composite,Blessed Textile Mills Limited
2025-08-26,174.0,174.0,170.0,173.96,1295,2025,8,BUXL,Chemical,Buxly Paints Limited
2025-08-26,553.33,583.98,553.33,574.1,25750,2025,8,BWCL,Cement,Bestway Cement Limited
2025-08-26,186.0,186.85,181.0,183.6,60613,2025,8,BWHL,Automobile Parts and Accessories,Baluchistan Wheels Limited
2025-08-26,39.6,39.6,38.0,38.02,1924,2025,8,CASH,Banks/INV. COS/Securities COS.,Calcorp Limited
2025-08-26,49.63,53.54,49.63,53.6,358,2025,8,CCM,Textile Spinning,Crescent Cotton Mills Limited
2025-08-26,47.9,48.0,46.0,46.0,2200,2025,8,CENI,Insurance,Century Insurance Company Limited
2025-08-26,27.82,28.33,27.49,27.6,205309,2025,8,CEPB,Paper and Board,Century Paper and Board Mills Limited
2025-08-26,75.5,75.5,69.01,72.72,616,2025,8,CHAS,Sugar and Allied Industries,Chashma Sugar Mills Limited.
2025-08-26,23.01,23.24,22.51,23.0,764602,2025,8,CHBL,Textile Composite,Chenab Limited
2025-08-26,331.0,336.0,331.0,332.47,43310,2025,8,CHCC,Cement,Cherat Cement Company Limited
2025-08-26,11.5,11.7,11.07,11.14,60323,2025,8,CJPL,JUTE,Crescent Jute Proudcts Limited
2025-08-26,4.1,4.19,4.0,4.04,292052,2025,8,CLCPS,Textile Composite,Chenab Limited - Preference Shares
2025-08-26,41.49,41.75,41.25,41.58,69290,2025,8,CLOV,Food and Personal Care Products,Clover Pakistan Limited
2025-08-26,19.01,19.39,18.37,19.0,5552,2025,8,CLVL,Transport,Cordoba Logistics & Ventures Limited
2025-08-26,7.08,7.15,7.01,7.08,4748567,2025,8,CNERGY,Refinery,Cnergyico PK  Limited
2025-08-26,1298.0,1305.0,1293.01,1294.78,5586,2025,8,COLG,Chemical,Colgate Palmolive (Pakistan) Limited
2025-08-26,89.0,91.4,88.75,89.62,4088757,2025,8,CPHL,Pharmaceuticals,Citi Pharma Ltd.
2025-08-26,109.1,112.8,109.1,112.05,116684,2025,8,CPPL,Paper and Board,Cherat Packaging Limited.
2025-08-26,21.49,21.7,21.2,21.42,203631,2025,8,CRTM,Textile Composite,Crescent Textile Mills Limited
2025-08-26,101.7,105.5,101.0,103.77,1125674,2025,8,CSAP,Engineering,Crescent Steel & Allied Products Limited
2025-08-26,4.23,4.76,4.2,4.34,12131741,2025,8,CSIL,Insurance,Crescent Star Insurance Company Limited
2025-08-26,6.39,6.39,6.03,6.05,153810,2025,8,CTM,Textile Spinning,Colony Textile Mills Limited
2025-08-26,36.51,37.9,36.0,36.06,160396,2025,8,CWSM,Textile Spinning,Chakwal Spinning Mills Limited
2025-08-26,39.4,40.0,36.73,37.11,631714,2025,8,CYAN,Insurance,Cyan Limited
2025-08-26,108.5,108.5,104.14,105.88,1400,2025,8,DAAG,Chemical,Data Agro Limited
2025-08-26,66.86,66.86,64.41,65.39,1120,2025,8,DADX,Engineering,Dadex Eternit Limited
2025-08-26,8.01,8.39,8.0,8.08,1445411,2025,8,DBCI,Cement,Dadabhoy Cement Industries Limited
2025-08-26,12.77,13.09,12.62,12.76,4752690,2025,8,DCL,Cement,Dewan Cement Limited
2025-08-26,32.3,32.49,32.01,32.07,731127,2025,8,DCR,Real Estate Investment Trust,Dolmen City Reit
2025-08-26,18.9,18.9,17.02,17.39,675639,2025,8,DEL,Banks/INV. COS/Securities COS.,Dawood Equities Limited
2025-08-26,33.8,34.21,33.8,33.87,740071,2025,8,DFML,Automobile Assembler,Dewan Farooque Motors Limited
2025-08-26,6.28,6.28,5.95,5.98,419694,2025,8,DFSM,Textile Spinning,Dewan Farooque Spinning Mills Limited
2025-08-26,186.45,190.48,185.3,188.91,3057532,2025,8,DGKC,Cement,D.G. Khan Cement Company Limited
2025-08-26,33.7,36.5,33.7,36.0,3308,2025,8,DIIL,Misc.,Diamond Industries Limited
2025-08-26,75.02,80.0,75.02,77.54,367,2025,8,DINT,Textile Spinning,Din Textile Mills Limited
2025-08-26,383.99,388.21,365.2,378.03,103893,2025,8,DLL,Banks/INV. COS/Securities COS.,Dawood Lawrancepur Limited
2025-08-26,14.53,14.53,12.35,14.53,30130,2025,8,DMTM,Textile Spinning,Dewan Mushtaq Textile Mills Limited
2025-08-26,15.11,15.7,15.0,15.31,48745,2025,8,DNCC,Cement,Dandot Cement Company Limited
2025-08-26,35.51,35.99,35.0,35.19,753230,2025,8,DOL,Chemical,Descon Oxychem Limited
2025-08-26,6.03,6.2,6.0,6.12,419504,2025,8,DSIL,Textile Spinning,D.S. Industires Limited
2025-08-26,9.39,9.55,9.39,9.5,32860,2025,8,DSL,Engineering,Dost Steels Limited
2025-08-26,28.8,28.9,28.2,28.39,16426,2025,8,DWAE,Automobile Parts and Accessories,Dewan Automotive Engineering Limited
2025-08-26,6.37,6.37,6.1,6.12,290494,2025,8,DWSM,Sugar and Allied Industries,Dewan Sugar Mills Limited
2025-08-26,7.05,8.29,7.05,7.65,76322,2025,8,DWTM,Textile Spinning,Dewan Textile Mills Limited
2025-08-26,294.98,294.98,285.02,288.8,57017,2025,8,DYNO,Chemical,Dynea Pakistan Limited
2025-08-26,71.0,74.22,69.5,72.39,4641674,2025,8,ECOP,Misc.,Ecopack Limited
2025-08-26,206.8,206.8,202.54,203.8,2750498,2025,8,EFERT,Fertilizer,Engro Fertilizers Limited
2025-08-26,130.5,130.5,125.26,129.77,1266,2025,8,EFUG,Insurance,EFU General Insurance Limited
2025-08-26,159.0,160.99,156.0,158.0,5493,2025,8,EFUL,Insurance,EFU Life Assurance Limited
2025-08-26,237.05,237.66,237.05,237.66,2433,2025,8,ELCM,Textile Spinning,Elahi Cotton Mills Limited
2025-08-26,129.0,129.0,121.0,125.39,251,2025,8,ELSM,Textile Spinning,Ellcot  Spinning Mills Limited
2025-08-26,62.94,62.94,60.15,60.41,8365,2025,8,EMCO,Cable and Electrical Goods,Emco Industries Limited
2025-08-26,28.15,28.7,28.15,28.4,843201,2025,8,EPCL,Chemical,Engro Polymer and Chemicals Limited
2025-08-26,13.5,13.5,11.25,11.29,1305,2025,8,EPCLPS,Chemical,Engro Poly(PREF)
2025-08-26,29.04,29.17,28.88,28.9,278659,2025,8,EPQL,Power Generation and Distribution,Engro Powergen Qadirpur Limited
2025-08-26,6.11,6.3,6.1,6.13,16699,2025,8,ESBL,Banks/INV. COS/Securities COS.,Escorts Investment Bank Limited
2025-08-26,758.99,758.99,751.0,751.37,6474,2025,8,EXIDE,Automobile Parts and Accessories,Exide Pakistan Limited
2025-08-26,81.88,81.99,79.2,79.69,1062038,2025,8,FABL,Commercial Banks,Faysal Bank Limited
2025-08-26,5.41,5.65,5.2,5.37,188399,2025,8,FANM,Modrabas,First Al-Noor Modarba
2025-08-26,403.99,404.0,403.99,397.48,101,2025,8,FASM,Textile Composite,Faisal Spinning Mills Limited
2025-08-26,127.0,127.8,126.56,126.96,296092,2025,8,FATIMA,Fertilizer,Fatima Fertilizer Company Limited
2025-08-26,51.4,52.24,50.9,51.78,7990896,2025,8,FCCL,Cement,Fauji Cement Company Limited
2025-08-26,7.0,7.45,7.0,7.45,410416,2025,8,FCEL,Banks/INV. COS/Securities COS.,First Capital Equites Limited
2025-08-26,85.46,87.35,84.9,85.21,1043529,2025,8,FCEPL,Food and Personal Care Products,Frieslandcampins Engro Foods Limited
2025-08-26,13.5,14.1,13.5,13.84,27513,2025,8,FCIBL,Banks/INV. COS/Securities COS.,First Credit & Invest Bank Limited
2025-08-26,2.81,2.82,2.7,2.76,1787617,2025,8,FCSC,Banks/INV. COS/Securities COS.,First Capital Securites Corporation Limited
2025-08-26,25.0,25.0,22.81,23.31,524,2025,8,FECM,Modrabas,First Elite Capital Modaraba
2025-08-26,90.99,91.0,89.0,89.8,51401,2025,8,FECTC,Cement,Fecto Cement Limited
2025-08-26,6.5,6.65,6.15,6.46,18132,2025,8,FEM,Modrabas,First Equity Modarba
2025-08-26,427.97,446.0,422.1,427.32,171223,2025,8,FEROZ,Pharmaceuticals,Ferozsons Laboratories Limited
2025-08-26,436.74,444.87,435.0,441.83,2316037,2025,8,FFC,Fertilizer,Fauji Fertilizer Company Limited
2025-08-26,17.15,17.23,16.85,16.89,11323195,2025,8,FFL,Food and Personal Care Products,Fauji Foods Limited
2025-08-26,8.3,8.3,7.8,7.81,62368,2025,8,FFLM,Modrabas,First Fidelity Leasing Modaraba
2025-08-26,30.2,30.21,29.5,30.01,107381,2025,8,FHAM,Modrabas,First Habib Modarba Limited
2025-08-26,8.0,8.65,7.91,8.59,14429,2025,8,FIBLM,Modrabas,First IBL Modaraba
2025-08-26,216.05,236.36,214.56,233.51,311,2025,8,FIL,Leather and Tanneries,Fateh Industries Limited.
2025-08-26,212.0,212.0,212.0,208.59,50,2025,8,FIMM,Modrabas,First Imrooz Modaraba Limited
2025-08-26,50.4,50.4,49.4,49.74,92671,2025,8,FLYNG,Cement,Flying Cement Company Limited
2025-08-26,73.74,75.45,72.55,74.0,17261,2025,8,FML,Textile Composite,Feroze 1888 Mills Limited
2025-08-26,4.03,4.13,3.81,3.98,1617219,2025,8,FNEL,Banks/INV. COS/Securities COS.,First National Equities Limited
2025-08-26,4.52,4.52,4.24,4.28,188318,2025,8,FPJM,Modrabas,First Punjab Modarba
2025-08-26,12.97,12.97,11.35,11.51,49051,2025,8,FPRM,Modrabas,First Paramount Modaraba
2025-08-26,46.62,47.86,42.65,43.12,38029,2025,8,FRCL,Grass and Ceramics,Frontier Ceramics Limited
2025-08-26,44.76,46.95,44.76,45.17,3509,2025,8,FRSM,Sugar and Allied Industries,Faran Sugar Mills Limited
2025-08-26,115.3,116.0,112.02,115.23,1248,2025,8,FSWL,Textile Composite,Fateh Sports Wear Limited
2025-08-26,18.95,18.99,18.13,18.18,1541,2025,8,FTMM,Modrabas,First Treet Manufacturing Modarba
2025-08-26,13.03,13.98,13.03,13.58,15,2025,8,FTSM,Modrabas,First Tri-Star Modarba
2025-08-26,283.99,284.9,275.0,281.55,602,2025,8,FZCM,Textile Composite,Fazal Cloth Mills Limited
2025-08-26,449.26,453.8,435.01,442.02,26567,2025,8,GADT,Textile Spinning,Gadoon Textile Mills Limited
2025-08-26,28.4,29.0,27.86,28.46,107972,2025,8,GAMON,Misc.,Gammon Pakistan Limited
2025-08-26,131.97,131.97,127.0,127.32,218421,2025,8,GATI,Synthetic and Rayon,Gatron Industries Limited
2025-08-26,35.0,36.0,34.85,35.15,3553903,2025,8,GATM,Textile Composite,Gul Ahmed Textile Mills Limited
2025-08-26,28.11,28.9,27.75,28.03,9067768,2025,8,GCIL,Chemical,Ghani Chemical Industries Limited
2025-08-26,0.0,0.0,0.0,16.71,2500,2025,8,GEMPAPL,Paper and Board,Pak Agro Packaging Limited(GEM)
2025-08-26,37.05,37.47,37.02,37.02,1101,2025,8,GEMSPNL,Technoly and Commnunication,Supernet Limited
2025-08-26,13.5,13.84,13.01,13.67,12879,2025,8,GFIL,Textile Composite,Ghazi Fabrics International Limited
2025-08-26,12.58,12.65,11.92,12.16,7737469,2025,8,GGGL,Grass and Ceramics,Ghani Global Glass Limited
2025-08-26,24.11,24.4,23.65,24.0,2980398,2025,8,GGL,Chemical,Ghani Global Holdings Limited
2025-08-26,42.76,43.0,42.5,42.58,175377,2025,8,GHGL,Grass and Ceramics,Ghani Glass Limited
2025-08-26,818.79,819.83,806.0,807.49,146859,2025,8,GHNI,Automobile Assembler,Ghandhara Industries Limited
2025-08-26,420.09,432.0,400.02,405.59,2411687,2025,8,GLAXO,Pharmaceuticals,GlaxoSmithKline (Pakistan) Limited
2025-08-26,258.0,266.2,242.0,247.02,25776,2025,8,GLPL,Food and Personal Care Products,Gillette Pakistan Limited
2025-08-26,130.01,138.0,130.0,130.14,949,2025,8,GOC,Misc.,GOC (Pak) Limited.
2025-08-26,19.8,20.0,19.8,19.93,146078,2025,8,GRR,Real Estate Investment Trust,Globe Residency Reit
2025-08-26,20.72,21.0,19.05,19.68,48521,2025,8,GRYL,Leasing Companies,Grays Leasing Limited
2025-08-26,6.51,7.38,5.76,6.08,602618,2025,8,GSPM,Textile Spinning,Gulshan Spinning Mills Limited
2025-08-26,46.4,46.95,46.03,46.41,102102,2025,8,GTYR,Automobile Parts and Accessories,General Tyre and Rubber Co. of Pakistan Limited
2025-08-26,11.0,11.0,10.75,10.75,35723,2025,8,GUSM,Textile Spinning,Gulistan Spinning Mills Limited
2025-08-26,66.98,67.86,65.26,66.0,90076,2025,8,GVGL,Grass and Ceramics,Ghani Value Glass Limited
2025-08-26,52.44,53.35,52.1,52.79,680014,2025,8,GWLC,Cement,Gharibwal Cement Limited
2025-08-26,82.0,82.19,81.0,81.1,6407,2025,8,HABSM,Sugar and Allied Industries,Habib Sugar Mills Limited
2025-08-26,22.26,22.55,20.13,22.35,106129,2025,8,HAEL,Textile Composite,Hala Enterprises Limited
2025-08-26,351.33,384.97,351.33,385.0,11,2025,8,HAFL,Textile Composite,Hafiz Limited
2025-08-26,884.0,909.0,875.0,886.19,340023,2025,8,HALEON,Pharmaceuticals,Haleon Pakistan Limited
2025-08-26,10.6,10.8,10.54,10.56,3771680,2025,8,HASCOL,Oil and Gas Marketing,Hascol Petroleum Limited
2025-08-26,263.4,264.5,258.0,258.68,1074871,2025,8,HBL,Commercial Banks,Habib Bank Limited
2025-08-26,294.0,294.77,290.11,291.77,300812,2025,8,HCAR,Automobile Assembler,Honda Atlas Cars (Pakistan) Limited
2025-08-26,13.3,13.59,13.3,13.37,774787,2025,8,HGFA,Close End Mutual Funds,HBL Growth Fund
2025-08-26,15.95,16.0,15.6,15.69,111629,2025,8,HICL,Insurance,Habib Insurance Company Limited
2025-08-26,5.6,5.64,5.5,5.59,720655,2025,8,HIFA,Close End Mutual Funds,HBL Investment Fund
2025-08-26,551.0,557.0,544.0,547.82,27396,2025,8,HINO,Automobile Assembler,HinoPak Motors Limited
2025-08-26,1231.0,1237.99,1214.99,1220.41,111472,2025,8,HINOON,Pharmaceuticals,Highnoon Laboratories Limited
2025-08-26,5.4,5.4,5.18,5.2,711095,2025,8,HIRAT,Textile Spinning,Hira Textile Mills Limited
2025-08-26,120.0,120.0,115.0,117.43,56873,2025,8,HMB,Commercial Banks,Habib Metropolitan Bank Limited
2025-08-26,32.0,32.5,31.8,32.0,15403,2025,8,HRPL,Sugar and Allied Industries,Habib Rice Product Limited.
2025-08-26,45.49,47.1,45.0,46.43,1189534,2025,8,HTL,Oil and Gas Marketing,Hi-Tech Lubricants Limited
2025-08-26,162.11,167.84,162.11,164.42,12573014,2025,8,HUBC,Power Generation and Distribution,Hub Power Company Limited
2025-08-26,13.99,14.0,13.65,13.91,1865056,2025,8,HUMNL,Technoly and Commnunication,Hum Network Limited
2025-08-26,29.9,30.0,29.0,29.64,1282,2025,8,HUSI,Textile Composite,Husein Industries Limited
2025-08-26,16.7,17.74,16.04,16.8,1283155,2025,8,HWQS,Sugar and Allied Industries,Haseeb Waqas Sugar Mills Limited
2025-08-26,320.0,325.0,311.0,312.17,398,2025,8,IBFL,Synthetic and Rayon,Ibrahim Fibre Limited
2025-08-26,62.05,62.35,61.8,62.15,94522,2025,8,IBLHL,Pharmaceuticals,IBL HealthCare Limited
2025-08-26,12.4,12.4,11.9,12.01,14447,2025,8,ICCI,Textile Weaving,ICC Industries Limited
2025-08-26,8.33,8.55,8.2,8.22,1439096,2025,8,ICIBL,Banks/INV. COS/Securities COS.,Invest Capital Investment Bank Limited
2025-08-26,89.9,91.5,89.0,90.0,58216,2025,8,ICL,Chemical,Ittehad Chemical Limited
2025-08-26,22.0,22.9,22.0,22.52,55957,2025,8,IDRT,Textile Spinning,Idrees Textile Mills Limited
2025-08-26,24.94,25.09,24.1,25.09,16794,2025,8,IDSM,Textile Spinning,Ideal Spinning Mills Limited
2025-08-26,175.48,175.5,170.7,172.98,4046,2025,8,IDYM,Textile Spinning,Indus Dyeing Manufacturing Company Limited
2025-08-26,331.0,334.0,298.11,305.58,334706,2025,8,IGIHL,Insurance,IGI Holdings Limited
2025-08-26,22.0,22.65,20.25,20.88,94167,2025,8,IGIL,Insurance,IGI Life Insurance Company Limited
2025-08-26,72.0,72.2,70.8,71.66,505124,2025,8,ILP,Textile Composite,Interloop Limited
2025-08-26,27.55,28.9,27.55,27.91,5406960,2025,8,IMAGE,Synthetic and Rayon,Image Pakistan Limited
2025-08-26,20.1,22.45,20.1,21.51,19962,2025,8,IML,Banks/INV. COS/Securities COS.,Imperial Mills Limited
2025-08-26,2310.0,2430.0,2300.0,2346.58,93643,2025,8,INDU,Automobile Assembler,Indus Motor Company Limited
2025-08-26,192.0,196.0,191.0,194.95,127977,2025,8,INIL,Engineering,International Industries Limited
2025-08-26,43.0,43.99,40.0,42.67,15732,2025,8,INKL,Textile Composite,International Knitwear Limited
2025-08-26,2000.01,2178.99,2000.01,2176.14,82,2025,8,ISIL,Food and Personal Care Products,Ismail Industries Limited
2025-08-26,103.52,105.1,103.01,104.83,142806,2025,8,ISL,Engineering,International Steels Limited
